Grata Link,Company Id,Domain,Name,Description,LinkedIn,Revenue Estimate,Employee Estimate,Employees on Professional Networks,Employee Growth (Monthly),Employee Growth (Quarterly),Employee Growth (6 months),Employee Growth (Annual),Headquarters,Mailing Address,Year Founded,Ownership,Owner,Investors,Ultimate Owner,Funding Stage,Last Funding Amount,Last Funding Date,Total Funding Amount,Total Funding Rounds,Business Model,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,Grata Industries,Primary Email,Primary Phone,Notes,Executive First Name,Executive Last Name,Executive Title,Executive Email,Executive Email Deliverability,Executive Linkedin,Key People,Status,Priority,Owner.1,Last Touch Date,PFL Status,Last Pipeline Decline Date,Rank
https://search.grata.com/search?c=V4DHCPDM,V4DHCPDM,1truehealth.com,"1 True Health, Inc.","1 True Health empowers an individual to access, manage, and share their health information by providing a secure, distributed, consumer-focused Personal Health Record (PHR) comprised of historical, encounter-based, and real-time health data as well as disease surveillance information.",https://www.linkedin.com/company/1truehealth/,,,,,,,,,,2020.0,Investor Backed,,BIP Ventures,,Other Funding,,,,1.0,,"54 Professional, Scientific, and Technical Services","541 Professional, Scientific, and Technical Services",5415 Computer Systems Design and Related Services,54151 Computer Systems Design and Related Services,541511 Custom Computer Programming Services,,info@1truehealth.com,1-888-499-1999,,Shawn,Smith,Chief Executive Officer,shawn.smith@1truehealth.com,Deliverable,https://www.linkedin.com/in/smithshawnd/,"Shawn Smith (Chief Executive Officer), Scott Clitheroe (M.D)",,,,,,,1.0
https://search.grata.com/search?c=WUUZC3N5,WUUZC3N5,1touch.io,1Touch.io,"1Touch.io automatically discovers, maps, and catalogs all sensitive information in the enterprise network, regardless of where it exists (structured, unstructured, known/unknown), and without requiring human expertise or programming. We utilize a unique and highly accurate proprietary approach to locate attributes within big data sets that are linked to identifiable data such as employee/customer names and email addresses. What can we do for you? 1) Give you better visibility into your residual risk 2) Efficiently detect and respond to security events and incidents 3) Operationalize privacy compliance in a cost-effective way For more information, visit us at www.1touch.io",https://www.linkedin.com/company/1touch-io/,6000000,81.0,81.0,3.85%,1.25%,2.53%,28.57%,"New York, NY","521 5th Avenue, New York, NY 10175, USA",2017.0,Investor Backed,,"Connecticut Innovations,Jerusalem Venture Partners,Mindset Ventures,National Grid Partners,Neotribe Ventures,Ocean Azul Partners",,Late Stage Funding,14000000.0,2023-05-05,29000000.0,4.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,info@1touch.io,1-646-475-2440,,Zak,Rubinstein,"Co-Founder, Chief Executive Officer & Board Member",zak@1touch.io,Deliverable,https://www.linkedin.com/in/zak-rubinstein-7420088/,"Zak Rubinstein (Co-Founder, Chief Executive Officer & Board Member), Dimitry Shevchenko (Co-Founder)",,,Allison Forlenza,2024-06-15T12:51:14.000+0000,,,8.0
https://search.grata.com/search?c=X9QRHFPZ,X9QRHFPZ,acorn.io,Acorn Labs,"Acorn Labs specializes in cloud computing and the development of software tools for automating interactions with Large Language Models (LLMs) across various sectors. The company's flagship product, GPTScript, is a scripting language that simplifies the creation of AI-powered applications by enabling natural language prompts to be combined with traditional programming scripts. Acorn Labs provides a suite of tools that support tasks such as data analysis, system automation, and the development of intelligent agents and assistants. It was founded in 2022 and is based in Cupertino, California.",https://www.linkedin.com/company/acorn-io/,4000000,21.0,22.0,0,0,-4.35%,15.79%,"Cupertino, CA","Cupertino, CA, USA",2022.0,Investor Backed,,,,Early Stage Funding,,,,0.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,careers@acorn.io,,,Sheng,Liang,Co-Founder & Chief Executive Officer,sheng@acorn.io,Potentially Deliverable,https://www.linkedin.com/in/shengliang/,"Sheng Liang (Co-Founder & Chief Executive Officer), Darren Shepherd (Chief Architect and Co-Founder)",,,Carson Bliss,2024-06-15T12:53:27.000+0000,,,6.0
https://search.grata.com/search?c=73KDC6YQ,73KDC6YQ,adalo.com,Adalo,"Adalo is a no-code builder to help anyone create mobile and web apps. Only 0.3% of the general population has the skillset to create mobile and web apps. To change this, Adalo is empowering makers to bring their ideas to life. More than just a no-code tech platform; Adalo helps makers at every stage of their journey. Adalo was founded in 2018 and headquartered in Missouri, United States.",https://www.linkedin.com/company/adalohq/,,29.0,29.0,0,-3.33%,-12.12%,-9.38%,,,2018.0,Investor Backed,,"Ben Tossell,Jason Warner,Oceans Ventures,OldSlip Group,Rainfall Ventures,Tiger Global Management,Wade Foster",,Early Stage Funding,8000000.0,2021-05-04,8000000.0,2.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,hello@adalo.com,,,David,Adkin,Co-Founder & CEO,david@adalo.com,Deliverable,https://www.linkedin.com/in/david-adkin-90060448/,David Adkin (Co-Founder & CEO),,,John Buck,2024-07-13T22:49:05.000+0000,,2024-02-07,7.0
https://search.grata.com/search?c=56FJU4T4,56FJU4T4,allegrosoft.com,Allegro Software,"Security and Connectivity for IoT Devices The Internet is the dominant tool people use to connect with businesses and each other. Not only do humans heavily utilize the Internet, many products and machines are network enabled and make effective use of connectivity and interoperability to broaden their appeal and product life. The networking software embedded in these new devices is a key for their success. Allegro Software Development Corporation is a leading provider of embedded software development toolkits used worldwide to enable Internet connectivity, embedded device security and machine to machine interoperability. Over 200,000,000 machines have been shipped using the Allegro family of Internet Software Toolkits for Embedded Devices.",https://www.linkedin.com/company/allegro-software-development-corporation/,"$<1,000,000",5.0,6.0,0,0,0,-14.29%,"Boxborough, MA","1740 Massachusetts Avenue, Boxborough, MA 01719, USA",1996.0,Bootstrapped,,,,No Funding,,,,0.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,sales@allegrosoft.com,1-978-264-6600,,Bob,Andel,President,bva@allegrosoft.com,Deliverable,https://www.linkedin.com/in/bobvanandel/,Bob Van Andel (President),,,,,,,1.0
https://search.grata.com/search?c=3TXT44RW,3TXT44RW,runalloy.com,Alloy Automation,"Alloy operates as an integration platform as a service (iPaaS) solution. it offers a wide range of products such as Alloy Embedded, Alloy Flow, and more. It provides no-code operating system tools for the e-commerce industry. It supports categories such as sales, marketing, customer support, and messaging with automation processes. It was founded in 2019 and is based in New York, New York.",https://www.linkedin.com/company/alloy-automation/,2000000,28.0,29.0,-3.33%,-3.33%,-12.12%,-21.62%,"Brentwood, NY","NY 11717, USA",2019.0,Investor Backed,,"Abstract Ventures,Andreessen Horowitz,Bain Capital Ventures,BoxGroup,Brian Long,Bryant Chou,Color Capital,FirstMark Capital,Hawke Ventures,Hummingbird Ventures,Laura Behrens Wu,Soma Capital,The Thiel Foundation,Y Combinator",,Early Stage Funding,20000000.0,2022-02-23,25130000.0,5.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,Retail and E-Commerce Software,contact@runalloy.com,,,Sara,Du,Cofounder & CEO,sara@runalloy.com,Deliverable,https://www.linkedin.com/in/saradu/,"Sara Du (Cofounder & CEO), Gregg Mojica (Cofounder & CTO)",,,John Buck,2024-06-15T12:53:56.000+0000,,,
https://search.grata.com/search?c=ERASGRQB,ERASGRQB,amnic.com,Amnic,"Amnic is a cloud cost observability platform, helping businesses measure and rightsize their cloud costs. Amnic delivers a deeper visibility into cloud bills by breaking costs down across a billing, technical and benchmarking lens. Organizations leverage Amnic’s algorithmic recommendations to optimize and lower cloud costs to build a lean cloud infrastructure. Amnic delivers a wide range of features including K8s visibility, cost analyzer, alerts and custom reporting, anomaly detection, budgeting, forecasting and smart tagging. DevOps and SRE teams rely on Amnic to deliver a simplified view into their cloud costs, allowing them to maintain governance and build a culture of cost optimization.",https://www.linkedin.com/company/amnic/,3000000,44.0,45.0,-2.17%,4.65%,4.65%,7.14%,"San Francisco, CA","San Francisco, CA 94016, USA",2021.0,Investor Backed,,,,Early Stage Funding,14000000.0,2022-03-15,14000000.0,1.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,,,,Ankit,Bhati,Co-Founder & Director,ankit@amnic.com,Deliverable,https://www.linkedin.com/in/ankitbhati,"Ankit Bhati (Co-Founder & Director), Nimish Joshi (Co-Founder)",,,,,,,
https://search.grata.com/search?c=DHFJ882H,DHFJ882H,anjuna.io,Anjuna Security,"Anjuna created the first Universal Confidential Computing Platform to run applications in any cloud with complete data security and privacy. Anjuna Seaglass isolates workloads in a hardware-assisted environment that intrinsically secures data in every state to create a zero trust environment for code and data. Anjuna Seaglass empowers enterprises to directly control application-level trust policies, ensuring that only trusted code can access sensitive data. Anjuna works with enterprises around the globe in industries such as financial services, government, and blockchain.",https://www.linkedin.com/company/anjuna-security/,9000000,47.0,48.0,4.35%,2.13%,-5.88%,-30.43%,"Palo Alto, CA","380 Portage Avenue, Palo Alto, CA 94306, USA",2017.0,Investor Backed,,"Atlas Venture,Insight Partners,Kindred Ventures,Playground Global,Plug and Play Accelerator,Y Combinator",,Late Stage Funding,30000000.0,2021-06-23,33370000.0,5.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,info@anjuna.io,1-650-501-0240,,Ayal,Yogev,"Co-Founder, Chief Executive Officer, Principal & Board Member",ayal@anjuna.io,Deliverable,,"Ayal Yogev (Co-Founder, Chief Executive Officer, Principal & Board Member), Yan Michalevsky (Co-Founder, Chief Technology Officer & Board Member)",,,,,,,7.0
https://search.grata.com/search?c=SRT6Q5RG,SRT6Q5RG,appify.com,Appify,"Appify operates as an enterprise rapid application development platform. It enables users to deploy custom applications and automate the core functions that power their business. Appify was formerly known as Turbo Systems. It was founded in 2017 and is based in San Francisco, California. In April 2022, Appify was acquired by CSG International.",https://www.linkedin.com/company/appifydotcom/,,31.0,32.0,0,-3.03%,-13.51%,-11.11%,"San Francisco, CA","548 Market St, PMB 28967, San Francisco, California 94105, US",2017.0,Public Subsidiary,"CSG Systems International, Inc.","Alumni Ventures,B Capital,CSG International,Mayfield,Nassau Street Ventures","CSG Systems International, Inc.",Public,,,,,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,info@turbosystems.com,1-925-204-6151,,Hari,Subramanian,"Co-Founder, Chief Executive Officer & Chief Technology Officer",hari.subramanian@appify.com,Deliverable,https://www.linkedin.com/in/secretsaas/,"Hari Subramanian (Co-Founder, Chief Executive Officer & Chief Technology Officer)",,,,,,,
https://search.grata.com/search?c=7V8FNLZD,7V8FNLZD,appviewx.com,AppViewX,"The world runs on applications. “Yes, we have an app for that” is now part of our daily lexicon whether as consumers or employees. So, while application availability, access, security and compliance are critical to our user experience and productivity, why do we continue to see application downtime? The answer is simple…too many cooks in the proverbial kitchen. DevOps teams are doing this.",https://www.linkedin.com/company/appviewx/,12000000,600.0,599.0,-1.16%,-1.16%,4.36%,10.31%,"New York, NY","City Hall, New York, NY 10038, USA",2015.0,Investor Backed,,"AWS ISV Accelerate Program,Brighton Park Capital",,Late Stage Funding,20000000.0,2022-03-22,51980000.0,4.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,info@appviewx.com,1-206-207-7541,,Gregory,Webb,CEO,gregory.webb@appviewx.com,Deliverable,https://www.linkedin.com/in/gregory-webb-243ba81/,"Gregory Webb (CEO), Anand Purusothaman (Founder)",,,Jackson Evans,2024-06-15T12:50:19.000+0000,,,1.0
