Employee Estimate,Employees on Professional Networks,Employee Growth (Monthly),Employee Growth (Quarterly),Employee Growth (6 months),Employee Growth (Annual),Last Funding Amount,Total Funding Amount,Total Funding Rounds,Rank,is_us,company_age,is_tech_enabled,Days Since Last Funding Date,Days Since Last Touch Date,Days Since Last Pipeline Decline Date
,,,,,,,,1.0,0.0,0.5,5.0,0,,,
81.0,81.0,3.85,1.25,2.53,28.57,14000000.0,29000000.0,4.0,7.0,1.0,8.0,1,730.0,323.0,
21.0,22.0,0.0,0.0,-4.35,15.79,,,0.0,5.0,1.0,3.0,1,,323.0,
29.0,29.0,0.0,-3.33,-12.12,-9.38,8000000.0,8000000.0,2.0,6.0,0.5,7.0,1,1461.0,294.0,452.0
5.0,6.0,0.0,0.0,0.0,-14.29,,,0.0,0.0,1.0,29.0,1,,,
47.0,48.0,4.35,2.13,-5.88,-30.43,30000000.0,33370000.0,5.0,6.0,1.0,8.0,1,1411.0,,
600.0,599.0,-1.16,-1.16,4.36,10.31,20000000.0,51980000.0,4.0,0.0,1.0,10.0,1,1139.0,323.0,
16.0,17.0,6.25,6.25,13.33,30.77,,,0.0,4.0,1.0,9.0,1,,294.0,859.0
159.0,161.0,4.55,13.38,25.78,67.71,40000000.0,67500000.0,5.0,6.0,1.0,5.0,1,517.0,294.0,972.0
61.0,62.0,0.0,3.33,8.77,1.64,15700000.0,28100000.0,2.0,5.0,1.0,10.0,1,1872.0,,
41.0,41.0,,,,,40000000.0,60000000.0,4.0,4.0,0.5,6.0,1,426.0,,
221.0,220.0,0.92,7.84,22.22,41.03,36000000.0,36000000.0,1.0,4.0,1.0,11.0,1,914.0,298.0,
18.0,18.0,0.0,0.0,0.0,-5.26,,,0.0,5.0,1.0,13.0,1,,,
73.0,73.0,0.0,7.35,14.06,35.19,15000000.0,27900000.0,3.0,7.0,1.0,7.0,1,697.0,294.0,950.0
422.0,425.0,-0.23,1.43,3.91,31.17,92000000.0,190700000.0,4.0,0.0,1.0,26.0,1,718.0,,
49.0,249.0,15.28,96.06,289.06,522.5,46000000.0,62000000.0,4.0,9.0,1.0,11.0,1,311.0,298.0,
82.0,83.0,6.41,31.75,43.1,62.75,14500000.0,22000000.0,3.0,7.0,1.0,7.0,1,1089.0,294.0,376.0
21.0,22.0,-8.33,-8.33,-18.52,-31.25,130000.0,500000.0,2.0,6.0,1.0,12.0,1,3467.0,316.0,
138.0,96.0,0.0,1.05,-2.04,-1.03,,,0.0,6.0,1.0,14.0,0,,,
42.0,29.0,0.0,3.57,-9.38,-12.12,1390000.0,1640000.0,1.0,8.0,1.0,13.0,0,2488.0,,
25.0,26.0,0.0,0.0,0.0,-16.13,8000000.0,16640000.0,6.0,5.0,1.0,10.0,1,2035.0,316.0,
43.0,44.0,0.0,4.76,-4.35,7.32,12000000.0,18000000.0,3.0,8.0,1.0,6.0,1,746.0,294.0,354.0
48.0,120.0,1.69,3.45,3.45,-5.51,,,0.0,5.0,1.0,10.0,1,,316.0,
8.0,9.0,0.0,0.0,0.0,0.0,,,1.0,3.0,0.0,7.0,1,1530.0,,
63.0,64.0,-1.54,-4.48,-9.86,-9.86,30000000.0,43000000.0,4.0,9.0,1.0,5.0,1,1116.0,294.0,360.0
36.0,37.0,-5.13,-2.63,-2.63,12.12,3500000.0,7370000.0,3.0,6.0,1.0,7.0,1,629.0,294.0,457.0
67.0,68.0,0.0,-1.45,-2.86,-4.23,14000000.0,44710000.0,3.0,6.0,1.0,9.0,1,971.0,316.0,
45.0,46.0,0.0,2.22,6.98,9.52,,,1.0,3.0,1.0,18.0,1,4903.0,316.0,
9.0,4.0,0.0,0.0,33.33,33.33,130000.0,430000.0,4.0,0.0,1.0,5.0,1,1061.0,,
4.0,6.0,0.0,0.0,20.0,20.0,,,1.0,0.0,1.0,8.0,0,,,
55.0,55.0,-1.79,-6.78,-8.33,-8.33,3000000.0,16780000.0,3.0,9.0,1.0,10.0,0,1248.0,294.0,1054.0
14.0,14.0,-6.67,-12.5,27.27,55.56,1260000.0,1260000.0,1.0,3.0,1.0,6.0,1,1332.0,294.0,922.0
281.0,284.0,-0.35,2.16,4.03,10.51,90000000.0,135250000.0,4.0,2.0,1.0,9.0,1,997.0,,
154.0,155.0,6.16,7.64,15.67,31.36,,,0.0,6.0,1.0,44.0,1,,,
214.0,148.0,0.68,2.78,-0.67,4.96,,,0.0,9.0,0.0,12.0,0,,,
77.0,77.0,1.32,10.0,14.93,35.09,,,3.0,6.0,1.0,7.0,0,,294.0,859.0
9.0,7.0,0.0,0.0,0.0,75.0,,,0.0,0.0,1.0,,1,,,
65.0,66.0,-1.49,-2.94,0.0,-10.81,18000000.0,25500000.0,2.0,4.0,1.0,9.0,1,2410.0,316.0,
105.0,106.0,1.92,3.92,6.0,6.0,,,0.0,7.0,1.0,12.0,1,,293.0,
